,movie_id,title,genre,description
0,1,Toy Story (1995),Animation Children's Comedy,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
1,2,Jumanji (1995),Adventure Children's Fantasy,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
2,3,Grumpier Old Men (1995),Comedy Romance,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention."
3,4,Waiting to Exhale (1995),Comedy Drama,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender."
4,5,Father of the Bride Part II (1995),Comedy,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife."
5,6,Heat (1995),Action Crime Thriller,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
6,7,Sabrina (1995),Comedy Romance,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
7,8,Tom and Huck (1995),Adventure Children's,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.
8,9,Sudden Death (1995),Action,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.
9,10,GoldenEye (1995),Action Adventure Thriller,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon."
10,11,"American President, The (1995)",Comedy Drama Romance,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway."
11,12,Dracula: Dead and Loving It (1995),Comedy Horror,
12,13,Balto (1995),Animation Children's,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska."
13,14,Nixon (1995),Drama,A biographical story of former U.S. President
14,15,Cutthroat Island (1995),Action Adventure Romance,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.
15,16,Casino (1995),Drama Thriller,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
16,17,Sense and Sensibility (1995),Drama Romance,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
17,18,Four Rooms (1995),Thriller,Four interlocking tales that take place in a fading hotel on New Year's Eve.
